Kirjauspäivä;Maksupäivä;Summa;Tapahtumalaji;Maksaja;Saajan nimi;Saajan tilinumero;Saajan BIC-tunnus;Viitenumero;Viesti;Arkistointitunnus
01.05.2026;01.05.2026;-13,62;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 260501127837';20260501390000000305
01.05.2026;01.05.2026;-62,70;KORTTIOSTO;MATTI MEIKÄLÄINEN;HSL Mobiili;-;-;-;'431871******3110 260501530121';20260501390000000295
30.04.2026;28.04.2026;-11,16;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 260428172569';20260428390000000272
28.04.2026;28.04.2026;+2816,60;PALKKA;ACME SOFTWARE OY;Meikäläinen Matti;FI65 3939 0039 1111 43 ;SBANFIHH;-;'Palkka kaudelta 4/2026';20260428390000000262
28.04.2026;27.04.2026;-22,41;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*ROBERTS COFFEE 14;-;-;-;'431871******3110 260427927055';20260427390000000283
27.04.2026;26.04.2026;-23,97;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 260426630363';20260426390000000277
25.04.2026;25.04.2026;-38,45;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 260425162386';20260425390000000271
24.04.2026;22.04.2026;-7,21;KORTTIOSTO;MATTI MEIKÄLÄINEN;Subway 65975 REDI;-;-;-;'431871******3110 260422718413';20260422390000000278
24.04.2026;22.04.2026;-29,27;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 260422296359';20260422390000000269
22.04.2026;22.04.2026;-5,58;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 260422504338';20260422390000000284
22.04.2026;21.04.2026;-12,23;KORTTIOSTO;MATTI MEIKÄLÄINEN;VFI*FINN BEERHOUSE OY;-;-;-;'431871******3110 260421977630';20260421390000000280
21.04.2026;20.04.2026;-39,94;KORTTIOSTO;MATTI MEIKÄLÄINEN;Verkkokauppa.com;-;-;-;'431871******3110 260420179905';20260420390000000288
20.04.2026;19.04.2026;-32,12;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 260419558223';20260419390000000273
19.04.2026;18.04.2026;-15,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;NETFLIX.COM;-;-;-;'431871******3110 260418890131';20260418390000000268
18.04.2026;18.04.2026;-1,79;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 260418775727';20260418390000000285
17.04.2026;15.04.2026;-12,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *SPOTIFY*PQZ2OQ;-;-;-;'431871******3110 260415381457';20260415390000000267
16.04.2026;15.04.2026;-3,88;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 260415591542';20260415390000000286
16.04.2026;15.04.2026;-8,86;KORTTIOSTO;MATTI MEIKÄLÄINEN;VFI*FINN BEERHOUSE OY;-;-;-;'431871******3110 260415403801';20260415390000000282
10.04.2026;10.04.2026;+105,92;OMA TILISIIRTO;MEIKÄLÄINEN MATTI;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20260410390000000290
09.04.2026;09.04.2026;-4,77;KORTTIOSTO;MATTI MEIKÄLÄINEN;Fooni bar and cafe;-;-;-;'431871******3110 260409533663';20260409390000000281
09.04.2026;07.04.2026;-11,43;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 260407298387';20260407390000000276
09.04.2026;07.04.2026;-5,55;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 260407101740';20260407390000000275
07.04.2026;07.04.2026;+17,53;TILISIIRTO;VIPPS MOBILEPAY AS,;Meikäläinen Matti;FI65 3939 0039 1111 43;SBANFIHH;-;'MobilePay Aino V';20260407390000000289
07.04.2026;07.04.2026;-34,26;E-LASKU;MATTI MEIKÄLÄINEN;Helen Oy;FI18 8000 1200 3133 60 ;DABAFIHH;00222190542323842243;'-';20260407390000000264
06.04.2026;04.04.2026;-7,02;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 260404416877';20260404390000000287
05.04.2026;05.04.2026;-720,00;E-LASKU;MATTI MEIKÄLÄINEN;Asunto Oy Helsingin Esimerkki;FI21 1234 5600 0007 85 ;NDEAFIHH;00000000001234567894;'-';20260405390000000263
04.04.2026;03.04.2026;-29,90;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 260403532798';20260403390000000274
04.04.2026;02.04.2026;-49,90;KORTTIOSTO;MATTI MEIKÄLÄINEN;ELIXIA HELSINKI;-;-;-;'431871******3110 260402797103';20260402390000000266
02.04.2026;02.04.2026;-31,63;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 260402881107';20260402390000000270
02.04.2026;01.04.2026;-23,29;KORTTIOSTO;MATTI MEIKÄLÄINEN;VFI*FINN BEERHOUSE OY;-;-;-;'431871******3110 260401364866';20260401390000000279
01.04.2026;01.04.2026;-62,70;KORTTIOSTO;MATTI MEIKÄLÄINEN;HSL Mobiili;-;-;-;'431871******3110 260401277925';20260401390000000265
29.03.2026;28.03.2026;-27,41;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *CDON;-;-;-;'431871******3110 260328465824';20260328390000000257
29.03.2026;28.03.2026;-17,38;KORTTIOSTO;MATTI MEIKÄLÄINEN;Subway 65975 REDI;-;-;-;'431871******3110 260328176891';20260328390000000252
28.03.2026;28.03.2026;+2760,32;PALKKA;ACME SOFTWARE OY;Meikäläinen Matti;FI65 3939 0039 1111 43 ;SBANFIHH;-;'Palkka kaudelta 3/2026';20260328390000000234
24.03.2026;24.03.2026;-5,48;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 260324785361';20260324390000000255
24.03.2026;24.03.2026;-27,36;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 260324402259';20260324390000000245
23.03.2026;22.03.2026;-24,10;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 260322930231';20260322390000000246
20.03.2026;20.03.2026;-4,51;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 260320469870';20260320390000000254
20.03.2026;18.03.2026;-15,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;NETFLIX.COM;-;-;-;'431871******3110 260318475028';20260318390000000240
19.03.2026;19.03.2026;-87,76;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20260319390000000260
19.03.2026;19.03.2026;-3,89;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 260319340544';20260319390000000256
17.03.2026;16.03.2026;-26,94;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 260316186917';20260316390000000250
16.03.2026;16.03.2026;+35,69;TILISIIRTO;Kansaneläkelaitos;Meikäläinen Matti;FI16 1111 1111 3753 36 ;DABAFIHH;00000000031146360262;'-';20260316390000000259
16.03.2026;16.03.2026;-7,50;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 260316409984';20260316390000000247
16.03.2026;15.03.2026;-12,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *SPOTIFY*PTC3AK;-;-;-;'431871******3110 260315708400';20260315390000000239
15.03.2026;14.03.2026;-27,74;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 260314235942';20260314390000000248
14.03.2026;12.03.2026;-17,32;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*ROBERTS COFFEE 14;-;-;-;'431871******3110 260312304418';20260312390000000253
13.03.2026;12.03.2026;-10,09;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 260312604263';20260312390000000249
10.03.2026;09.03.2026;-5,84;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 260309981751';20260309390000000243
08.03.2026;07.03.2026;-36,71;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 260307418881';20260307390000000241
07.03.2026;07.03.2026;-35,39;E-LASKU;MATTI MEIKÄLÄINEN;Helen Oy;FI18 8000 1200 3133 60 ;DABAFIHH;00222190542323842243;'-';20260307390000000236
07.03.2026;05.03.2026;-23,70;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 260305458105';20260305390000000244
05.03.2026;05.03.2026;-720,00;E-LASKU;MATTI MEIKÄLÄINEN;Asunto Oy Helsingin Esimerkki;FI21 1234 5600 0007 85 ;NDEAFIHH;00000000001234567894;'-';20260305390000000235
05.03.2026;04.03.2026;-15,81;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 260304292598';20260304390000000242
03.03.2026;03.03.2026;+8,46;TILISIIRTO;VIPPS MOBILEPAY AS,;Meikäläinen Matti;FI65 3939 0039 1111 43;SBANFIHH;-;'MobilePay Ville K';20260303390000000258
03.03.2026;03.03.2026;-22,30;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*ROBERTS COFFEE 14;-;-;-;'431871******3110 260303594865';20260303390000000251
03.03.2026;02.03.2026;-49,90;KORTTIOSTO;MATTI MEIKÄLÄINEN;ELIXIA HELSINKI;-;-;-;'431871******3110 260302532043';20260302390000000238
02.03.2026;01.03.2026;-62,70;KORTTIOSTO;MATTI MEIKÄLÄINEN;HSL Mobiili;-;-;-;'431871******3110 260301892996';20260301390000000237
28.02.2026;28.02.2026;+2818,32;PALKKA;ACME SOFTWARE OY;Meikäläinen Matti;FI65 3939 0039 1111 43 ;SBANFIHH;-;'Palkka kaudelta 2/2026';20260228390000000203
28.02.2026;26.02.2026;-14,15;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 260226282847';20260226390000000211
26.02.2026;26.02.2026;-3,37;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 260226216936';20260226390000000226
26.02.2026;24.02.2026;-2,49;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 260224949664';20260224390000000227
25.02.2026;25.02.2026;-126,43;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20260225390000000232
25.02.2026;25.02.2026;+9,62;TILISIIRTO;VIPPS MOBILEPAY AS,;Meikäläinen Matti;FI65 3939 0039 1111 43;SBANFIHH;-;'MobilePay Aino V';20260225390000000231
25.02.2026;24.02.2026;-13,77;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 260224983091';20260224390000000210
23.02.2026;23.02.2026;-21,84;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 260223267879';20260223390000000221
22.02.2026;22.02.2026;-2,29;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 260222702627';20260222390000000228
20.02.2026;19.02.2026;-30,63;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 260219951080';20260219390000000214
20.02.2026;18.02.2026;-15,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;NETFLIX.COM;-;-;-;'431871******3110 260218468815';20260218390000000209
19.02.2026;19.02.2026;-34,08;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 260219344909';20260219390000000212
19.02.2026;18.02.2026;-25,22;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *WOLT;-;-;-;'431871******3110 260218526064';20260218390000000225
18.02.2026;18.02.2026;-6,28;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 260218843002';20260218390000000216
15.02.2026;15.02.2026;-12,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *SPOTIFY*PIEMMP;-;-;-;'431871******3110 260215975084';20260215390000000208
13.02.2026;12.02.2026;-26,77;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *STEAM GAMES;-;-;-;'431871******3110 260212698308';20260212390000000230
12.02.2026;11.02.2026;-13,89;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 260211466964';20260211390000000215
12.02.2026;10.02.2026;-5,92;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 260210348598';20260210390000000229
10.02.2026;10.02.2026;-4,35;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 260210814974';20260210390000000220
10.02.2026;10.02.2026;-29,00;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 260210277266';20260210390000000217
07.02.2026;07.02.2026;-32,96;E-LASKU;MATTI MEIKÄLÄINEN;Helen Oy;FI18 8000 1200 3133 60 ;DABAFIHH;00222190542323842243;'-';20260207390000000205
07.02.2026;06.02.2026;-8,74;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 260206175653';20260206390000000218
06.02.2026;06.02.2026;-4,89;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 260206187944';20260206390000000219
06.02.2026;05.02.2026;-18,39;KORTTIOSTO;MATTI MEIKÄLÄINEN;Studio Pausa;-;-;-;'431871******3110 260205673171';20260205390000000222
05.02.2026;05.02.2026;-720,00;E-LASKU;MATTI MEIKÄLÄINEN;Asunto Oy Helsingin Esimerkki;FI21 1234 5600 0007 85 ;NDEAFIHH;00000000001234567894;'-';20260205390000000204
05.02.2026;04.02.2026;-5,13;KORTTIOSTO;MATTI MEIKÄLÄINEN;Studio Pausa;-;-;-;'431871******3110 260204421746';20260204390000000223
05.02.2026;03.02.2026;-21,88;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*ROBERTS COFFEE 14;-;-;-;'431871******3110 260203152471';20260203390000000224
04.02.2026;02.02.2026;-49,90;KORTTIOSTO;MATTI MEIKÄLÄINEN;ELIXIA HELSINKI;-;-;-;'431871******3110 260202670785';20260202390000000207
03.02.2026;03.02.2026;-5,37;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 260203844738';20260203390000000213
02.02.2026;01.02.2026;-62,70;KORTTIOSTO;MATTI MEIKÄLÄINEN;HSL Mobiili;-;-;-;'431871******3110 260201355323';20260201390000000206
30.01.2026;28.01.2026;-20,94;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*ROBERTS COFFEE 14;-;-;-;'431871******3110 260128375009';20260128390000000188
29.01.2026;27.01.2026;-20,06;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*ROBERTS COFFEE 14;-;-;-;'431871******3110 260127440215';20260127390000000192
28.01.2026;28.01.2026;+2847,41;PALKKA;ACME SOFTWARE OY;Meikäläinen Matti;FI65 3939 0039 1111 43 ;SBANFIHH;-;'Palkka kaudelta 1/2026';20260128390000000170
28.01.2026;27.01.2026;-4,81;KORTTIOSTO;MATTI MEIKÄLÄINEN;Fooni bar and cafe;-;-;-;'431871******3110 260127369918';20260127390000000190
27.01.2026;26.01.2026;-7,77;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 260126786541';20260126390000000182
24.01.2026;24.01.2026;-31,61;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 260124972290';20260124390000000187
23.01.2026;23.01.2026;+20,85;TILISIIRTO;VIPPS MOBILEPAY AS,;Meikäläinen Matti;FI65 3939 0039 1111 43;SBANFIHH;-;'MobilePay Sanna P';20260123390000000198
23.01.2026;22.01.2026;-25,11;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*ROBERTS COFFEE 14;-;-;-;'431871******3110 260122783138';20260122390000000191
20.01.2026;18.01.2026;-15,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;NETFLIX.COM;-;-;-;'431871******3110 260118876239';20260118390000000176
19.01.2026;19.01.2026;-7,17;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 260119380648';20260119390000000181
19.01.2026;17.01.2026;-17,13;KORTTIOSTO;MATTI MEIKÄLÄINEN;VFI*FINN BEERHOUSE OY;-;-;-;'431871******3110 260117550900';20260117390000000189
