Kirjauspäivä;Maksupäivä;Summa;Tapahtumalaji;Maksaja;Saajan nimi;Saajan tilinumero;Saajan BIC-tunnus;Viitenumero;Viesti;Arkistointitunnus
15.06.2025;13.06.2025;-7,92;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 250613887159';20250613390000000392
14.06.2025;14.06.2025;-19,32;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 250614943747';20250614390000000397
11.06.2025;10.06.2025;-27,35;KORTTIOSTO;MATTI MEIKÄLÄINEN;Fooni bar and cafe;-;-;-;'431871******3110 250610990791';20250610390000000403
10.06.2025;10.06.2025;-20,82;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 250610923828';20250610390000000400
10.06.2025;09.06.2025;-16,76;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 250609920575';20250609390000000389
07.06.2025;07.06.2025;-21,44;E-LASKU;MATTI MEIKÄLÄINEN;Helen Oy;FI18 8000 1200 3133 60 ;DABAFIHH;00222190542323842243;'-';20250607390000000384
06.06.2025;05.06.2025;-23,73;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 250605786886';20250605390000000398
06.06.2025;04.06.2025;-6,82;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 250604100233';20250604390000000407
06.06.2025;04.06.2025;-39,59;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 250604757082';20250604390000000391
05.06.2025;05.06.2025;-720,00;E-LASKU;MATTI MEIKÄLÄINEN;Asunto Oy Helsingin Esimerkki;FI21 1234 5600 0007 85 ;NDEAFIHH;00000000001234567894;'-';20250605390000000383
05.06.2025;03.06.2025;-9,58;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 250603316556';20250603390000000393
04.06.2025;04.06.2025;+18,87;TILISIIRTO;VIPPS MOBILEPAY AS,;Meikäläinen Matti;FI65 3939 0039 1111 43;SBANFIHH;-;'MobilePay Aino V';20250604390000000413
03.06.2025;03.06.2025;+105,92;OMA TILISIIRTO;MEIKÄLÄINEN MATTI;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20250603390000000416
03.06.2025;03.06.2025;-17,32;KORTTIOSTO;MATTI MEIKÄLÄINEN;VFI*BIO REX CINEMAS OY;-;-;-;'431871******3110 250603395793';20250603390000000412
02.06.2025;02.06.2025;-8,35;KORTTIOSTO;MATTI MEIKÄLÄINEN;K-Market Kamppi 4021;-;-;-;'431871******3110 250602636739';20250602390000000390
02.06.2025;02.06.2025;-49,90;KORTTIOSTO;MATTI MEIKÄLÄINEN;ELIXIA HELSINKI;-;-;-;'431871******3110 250602396006';20250602390000000386
01.06.2025;01.06.2025;+126,99;OMA TILISIIRTO;MEIKÄLÄINEN MATTI;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20250601390000000414
01.06.2025;01.06.2025;-62,70;KORTTIOSTO;MATTI MEIKÄLÄINEN;HSL Mobiili;-;-;-;'431871******3110 250601500022';20250601390000000385
