Kirjauspäivä;Maksupäivä;Summa;Tapahtumalaji;Maksaja;Saajan nimi;Saajan tilinumero;Saajan BIC-tunnus;Viitenumero;Viesti;Arkistointitunnus
23.06.2026;22.06.2026;-28,73;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 260622613027';20260622390000000333
22.06.2026;21.06.2026;-7,19;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 260621867012';20260621390000000332
22.06.2026;20.06.2026;-15,08;KORTTIOSTO;MATTI MEIKÄLÄINEN;VFI*BIO REX CINEMAS OY;-;-;-;'431871******3110 260620164579';20260620390000000348
21.06.2026;21.06.2026;+19,04;TILISIIRTO;VIPPS MOBILEPAY AS,;Meikäläinen Matti;FI65 3939 0039 1111 43;SBANFIHH;-;'MobilePay Ville K';20260621390000000349
20.06.2026;19.06.2026;-19,81;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Porvoonkatu;-;-;-;'431871******3110 260619981570';20260619390000000331
19.06.2026;17.06.2026;-7,14;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 260617239439';20260617390000000346
19.06.2026;17.06.2026;-12,25;KORTTIOSTO;MATTI MEIKÄLÄINEN;Lidl Helsinki Vallila;-;-;-;'431871******3110 260617190628';20260617390000000337
18.06.2026;18.06.2026;-15,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;NETFLIX.COM;-;-;-;'431871******3110 260618735821';20260618390000000330
18.06.2026;17.06.2026;-3,74;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*VOI TECHNOLOGY;-;-;-;'431871******3110 260617477007';20260617390000000344
16.06.2026;16.06.2026;-9,66;KORTTIOSTO;MATTI MEIKÄLÄINEN;Studio Pausa;-;-;-;'431871******3110 260616575197';20260616390000000340
16.06.2026;15.06.2026;-12,99;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *SPOTIFY*PYY11F;-;-;-;'431871******3110 260615579910';20260615390000000329
13.06.2026;13.06.2026;+29,94;OMA TILISIIRTO;MEIKÄLÄINEN MATTI;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20260613390000000352
12.06.2026;12.06.2026;-84,46;OMA TILISIIRTO;MATTI MEIKÄLÄINEN;Meikäläinen Matti;FI65 3939 0039 9278 43;SBAN FI HH;-;'-';20260612390000000350
11.06.2026;11.06.2026;-31,00;KORTTIOSTO;MATTI MEIKÄLÄINEN;Alepa Kamppi;-;-;-;'431871******3110 260611314941';20260611390000000336
10.06.2026;09.06.2026;-42,95;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *STEAM GAMES;-;-;-;'431871******3110 260609578284';20260609390000000347
07.06.2026;07.06.2026;-24,60;E-LASKU;MATTI MEIKÄLÄINEN;Helen Oy;FI18 8000 1200 3133 60 ;DABAFIHH;00222190542323842243;'-';20260607390000000326
07.06.2026;06.06.2026;-7,52;KORTTIOSTO;MATTI MEIKÄLÄINEN;S-market Ympyratalo;-;-;-;'431871******3110 260606427940';20260606390000000339
07.06.2026;05.06.2026;-22,62;KORTTIOSTO;MATTI MEIKÄLÄINEN;PAYPAL *WOLT;-;-;-;'431871******3110 260605964457';20260605390000000343
05.06.2026;05.06.2026;-13,77;KORTTIOSTO;MATTI MEIKÄLÄINEN;Subway 65975 REDI;-;-;-;'431871******3110 260605721512';20260605390000000341
05.06.2026;05.06.2026;-720,00;E-LASKU;MATTI MEIKÄLÄINEN;Asunto Oy Helsingin Esimerkki;FI21 1234 5600 0007 85 ;NDEAFIHH;00000000001234567894;'-';20260605390000000325
04.06.2026;03.06.2026;-3,82;KORTTIOSTO;MATTI MEIKÄLÄINEN;MOB.PAY*RYDE FINLAND OY;-;-;-;'431871******3110 260603169792';20260603390000000345
03.06.2026;02.06.2026;-49,90;KORTTIOSTO;MATTI MEIKÄLÄINEN;ELIXIA HELSINKI;-;-;-;'431871******3110 260602252330';20260602390000000328
02.06.2026;02.06.2026;-27,09;KORTTIOSTO;MATTI MEIKÄLÄINEN;Prisma Kannelmaki;-;-;-;'431871******3110 260602223938';20260602390000000338
02.06.2026;01.06.2026;-62,70;KORTTIOSTO;MATTI MEIKÄLÄINEN;HSL Mobiili;-;-;-;'431871******3110 260601701306';20260601390000000327
